topo, k, flow_count, threshold, cm_avg, cm_hit, cm_time, sv_avg, sv_hit, sv_time, cs_avg, cs_hit, cs_time, cm_min, cm_max, sv_min, sv_max, cs_min, cs_max
fattree8,1500,300000,0.98 ,0.216566785948868,5790,419.1145,0.67125789149567,5763,2041306.4974,0.415670594658713,5995,1918.0867,0 , 1 ,0 , 1 ,0 , 2.97604602888449 ,
fattree8,1500,300000,0.95 ,0.252692842176213,14462,419.1145,0.667126995283175,14407,2041306.4974,0.592002595779188,14987,1918.0867,0 , 1 ,0 , 1 ,0 , 8.02904410842799 ,
fattree8,2000,300000,0.99 ,0.12983442254677,2803,436.1587,0.586335194005399,2850,2651620.6362,0.246560662224595,2989,2086.5024,0 , 1 ,0 , 1 ,0 , 3.36825997594612 ,
fattree8,2000,300000,0.98 ,0.137615360895984,5642,436.1587,0.581708415042839,5685,2651620.6362,0.278090683709912,5980,2086.5024,0 , 1 ,0 , 1 ,0 , 3.36825997594612 ,
fattree8,2000,300000,0.95 ,0.165653171084169,14147,436.1587,0.579941931308695,14217,2651620.6362,0.421124403647949,14950,2086.5024,0 , 1 ,0 , 1 ,0 , 5.23648722166397 ,
hyperx9,100,50000,0.99 ,0.404545179732511,496,57.1508,0.813803202786223,480,16169.8891,0.652737309211194,500,171.4546,0 , 1 ,0 , 1 ,0.000713383066324243 , 3.14901449336334 ,
hyperx9,100,50000,0.98 ,0.420636937057004,995,57.1508,0.813834638595736,959,16169.8891,0.6976362688629,1000,171.4546,0 , 1 ,0 , 1 ,0.000586424277965108 , 3.14901449336334 ,
hyperx9,100,50000,0.95 ,0.454603895000188,2482,57.1508,0.811534609541426,2382,16169.8891,0.813855715335863,2500,171.4546,0 , 1 ,0 , 1 ,0.000375387117965402 , 4.98064581847815 ,
hyperx9,200,50000,0.99 ,0.182876703867704,484,54.1436,586333923300.115,446,29080.1316,0.320550595863153,500,188.5,0 , 1 ,0 , 34103040926638.6 ,6.06636604452713E-05 , 1.7692454794637 ,
hyperx9,200,50000,0.98 ,0.186002722844147,968,54.1436,539863337371.195,902,29080.1316,0.353823789798241,998,188.5,0 , 1 ,0 , 36312774261431 ,0 , 2.25082936319872 ,
hyperx9,200,50000,0.95 ,0.211888431189716,2400,54.1436,490007870486.075,2269,29080.1316,0.486720047430216,2496,188.5,0 , 1 ,0 , 52782195880001 ,0 , 2.71228164834424 ,
hyperx9,400,50000,0.99 ,0.0479812433148256,432,67.1784,190349638235.447,397,45737.3154,0.138961022745012,494,247.6538,0 , 0.778246491711536 ,0 , 32195967679159.7 ,0 , 1.0308002302821 ,
hyperx9,400,50000,0.98 ,0.0557150026691497,868,67.1784,199513581365.21,809,45737.3154,0.135703956969854,985,247.6538,0 , 1 ,0 , 35128625978271.4 ,0 , 1.0308002302821 ,
hyperx9,400,50000,0.95 ,0.0628634073779122,2141,67.1784,205417203612.099,2039,45737.3154,0.180233175217753,2467,247.6538,0 , 1 ,0 , 47917105851100 ,0 , 2.07509505703422 ,
hyperx9,700,50000,0.99 ,0.0141094888332523,335,88.2331,1632937797949.33,351,50113.9208,0.0730656352888146,480,271.7211,0 , 0.557031302142428 ,0 , 48956327159526.4 ,0 , 0.679028622464169 ,
hyperx9,700,50000,0.98 ,0.013660570518506,683,88.2331,1759506724715.59,710,50113.9208,0.0753706634730514,965,271.7211,0 , 0.557031302142428 ,0 , 57154546133593.4 ,0 , 0.974199815205288 ,
hyperx9,700,50000,0.95 ,0.0165131431565288,1682,88.2331,1745030386354.36,1762,50113.9208,0.0868460015584429,2405,271.7211,0 , 0.884443425427032 ,0 , 80270243306192.8 ,0 , 1.17991514231926 ,
hyperx9,1000,50000,0.99 ,0.00495575885883021,233,85.2256,1366166443639.75,294,31175.6905,0.0449814605481253,455,273.7585,0 , 0.321517995166453 ,0 , 48956327159526.4 ,0 , 0.615041146907474 ,
hyperx9,1000,50000,0.98 ,0.00549153603733146,485,85.2256,1481155784549.72,605,31175.6905,0.041646552357597,907,273.7585,0 , 0.321517995166453 ,0 , 57154546133593.4 ,0 , 0.615041146907474 ,
hyperx9,1000,50000,0.95 ,0.00746524029962268,1213,85.2256,1525833253475.1,1464,31175.6905,0.0517412368635933,2251,273.7585,0 , 1 ,0 , 80270243306192.8 ,0 , 0.880166135306678 ,
hyperx9,1500,50000,0.99 ,0.001610765794604,141,77.2383,1042018266425.14,207,5679.0296,0.0202509932257253,382,289.7691,0 , 0.163247526395486 ,0 , 48956327159526.4 ,0 , 0.304928359135874 ,
hyperx9,1500,50000,0.98 ,0.00114009087745546,275,77.2383,969739759601.933,419,5679.0296,0.0242236059777878,782,289.7691,0 , 0.163247526395486 ,0 , 55341117679011.5 ,0 , 0.658977472008633 ,
hyperx9,1500,50000,0.95 ,0.00161105173300406,660,77.2383,1035311282109.62,966,5679.0296,0.0260955945234209,1921,289.7691,0 , 0.2749453999454 ,0 , 80270243306192.8 ,0 , 0.897558704184128 ,
hyperx9,2000,50000,0.99 ,0.000154857177185315,62,92.245,330352051780.864,94,1124.9839,0.0127459829493102,325,305.811,0 , 0.0109198839347022 ,0 , 33820180687944.2 ,0 , 0.315951514629578 ,
hyperx9,2000,50000,0.98 ,0.000219197783376087,136,92.245,345185134870.487,172,1124.9839,0.0157678254103304,640,305.811,0 , 0.032778290935417 ,0 , 37787386563976.5 ,0 , 0.873888676315019 ,
